,Store Number,Store Location,lon,lat,# of stores within 5 mile radius,Nearest other store (mi)
390,3912,POINT (-91.71601 41.9738),-1.6007463512920443,0.7325810095735958,92,0.029711961587300606
391,5949,POINT (-91.72584 41.95975),-1.6009179171575156,0.7323357908136907,68,0.0
393,2512,POINT (-91.53043 41.6426),-1.5975073692661934,0.7268004790909907,52,0.18365099170868535
394,6331,POINT (-90.66551 42.06967),-1.582411667499844,0.7342542567274829,6,0.45771493280304154
395,5716,POINT (-90.49846 41.57516),-1.5794960949843875,0.7256234290434457,45,0.3672759476370817
397,5481,POINT (-91.65083 41.98897),-1.5996087456855945,0.7328457760211234,123,0.0070074354687379055
401,5620,POINT (-92.55645 43.36381),-1.6154147964575056,0.7568412607092423,2,0.23777496690172562
402,5646,POINT (-91.65545 41.92132),-1.5996893798970369,0.7316650607821493,64,0.16598841077778012
404,5563,POINT (-94.86043 42.06403),-1.6556268333576045,0.7341558201576704,10,0.055990925841959215
405,6000,POINT (-90.22135 41.81758),-1.5746596130941861,0.7298544562161303,19,1.1200082772714075
406,3918,POINT (-90.62161 41.51004),-1.5816454679582186,0.724486870634547,58,0.01283997270557108
407,2716,POINT (-93.20251 42.734),-1.6266906706229403,0.7458490025472568,9,0.5209980161323465
409,2527,POINT (-93.62878 41.5265),-1.6341304856254166,0.7247741518294253,46,0.010863268454503597
411,2671,POINT (-94.3754 42.01724),-1.6471614628866564,0.7333391806006623,3,0.1399582972914611
414,4126,POINT (-91.49461 41.80719),-1.596882192328129,0.7296731165068481,2,0.11494054625836668
420,2508,POINT (-91.69838 41.97449),-1.600438649744918,0.7325930523454347,97,0.10103536062255805
424,2597,POINT (-95.55262 42.76552),-1.6677078279069841,0.7463991303274854,5,0.0779116515335641
426,5815,POINT (-90.67399 42.4968),-1.5825596714204133,0.7417090815615263,50,0.37999799548218255
427,5597,POINT (-90.66782 42.50651),-1.5824519846055651,0.7418785530318949,51,0.013011309907788758
429,4495,POINT (-92.77044 42.36148),-1.619149626523848,0.7393473020177275,2,0.594836950424918
430,10102,POINT (-95.55131 42.749),-1.667684964093783,0.746110801935056,5,0.248832531500146
431,5739,POINT (-93.30968 42.30422),-1.6285611399823026,0.7383479264880356,1,0.5810868318269915
432,4806,POINT (-91.26061 41.57858),-1.5927981218784624,0.725683119303864,2,0.4369465882991995
433,6092,POINT (-90.61246 41.51459),-1.581485770331661,0.7245662831155127,62,0.05992112016014623
434,5176,POINT (-91.71597 41.97805),-1.6007456531603437,0.7326551860668057,95,0.11608507941130565
438,5222,POINT (-91.65209 41.98825),-1.5996307368341698,0.7328332096505091,121,0.02116453045317551
441,5956,POINT (-90.68726 42.50074),-1.5827912766121528,0.7417778475340548,51,0.16125831155463885
446,5909,POINT (-90.66029 42.51948),-1.5823205613128901,0.7421049222358785,49,0.30299910737788865
447,4962,POINT (-90.57723 41.53338),-1.5808708908361835,0.7248942304819624,79,0.34737643338897145
450,4911,POINT (-90.34095 41.67364),-1.5767470268795714,0.7273422292908097,3,4.318065960075426
451,4566,POINT (-91.65769 41.92305),-1.5997284752722813,0.7316952549782089,67,0.16598841077778012
456,5593,POINT (-91.06337 41.40905),-1.5893556344618287,0.722724262622958,23,0.019375095717143624
458,5749,POINT (-94.87441 42.06853),-1.6558708303870333,0.7342343599740102,10,0.1956340727748877
460,5393,POINT (-92.81769 43.28404),-1.6199742945954156,0.7554490115649264,3,0.18662008343305897
461,10035,POINT (-90.18828 41.84534),-1.5740824327105516,0.730338959616484,17,0.3275938291722559
462,2561,POINT (-93.64495 41.54275),-1.6344127053654638,0.7250577678328743,74,0.011746589464992074
465,4284,POINT (-93.26316 42.52233),-1.6277492128142748,0.7421546641195603,4,0.06779258971797064
467,3647,POINT (-90.24443 41.8184),-1.5750624350855462,0.7298687679159966,19,0.04156257708333891
473,10024,POINT (-93.83246 41.60043),-1.6376853722458784,0.7260644737454247,82,0.08732347943456555
474,5436,POINT (-90.57278 41.56035),-1.5807932236844697,0.7253649457812253,81,0.11397998947979761
476,2528,POINT (-93.63534 41.5547),-1.6342449792243472,0.7252663346784876,75,0.5308516021430443
481,5824,POINT (-91.49296 41.80607),-1.596853394395471,0.7296535688192258,2,0.11494054625836668
490,5326,POINT (-95.20241 42.64746),-1.6615955103335749,0.7443385946125809,13,0.05194305226942059
491,5116,POINT (-93.04541 41.69962),-1.6239487583680572,0.727795665830478,13,0.009674770452262298
493,2535,POINT (-93.752 41.59776),-1.6362810803297239,0.7260178734543964,125,0.2540095348635705
494,6229,POINT (-95.19911 42.64747),-1.6615379144682592,0.7443387691455061,13,0.00914827750931683
495,5888,POINT (-90.51892 41.54003),-1.5798531893493455,0.7250102948772201,67,0.18530454678875177
497,5061,POINT (-91.67548 41.94306),-1.6000389693462111,0.7320444953615329,78,0.213686962126982
501,3814,POINT (-93.80443 41.56154),-1.6371961564565445,0.725385715199324,69,0.2709377447048593
506,2840,POINT (-90.50386 41.55021),-1.5795903427639952,0.7251879693950731,52,0.18726193959227047
513,4490,POINT (-91.67221 41.94497),-1.599981897079671,0.7320778311502459,79,0.213686962126982
516,5356,POINT (-91.68214 41.98852),-1.6001552082743942,0.7328379220394895,113,0.6253744870179107
517,5834,POINT (-93.26327 42.52773),-1.627751132676452,0.7422489118991681,4,0.37316900442588297
519,4967,POINT (-90.7661 41.50912),-1.5841672941944251,0.7244708136054286,5,0.17023691490002094
528,5902,POINT (-91.0714 41.42288),-1.5894957844007638,0.7229656416585087,23,0.937673092761822
529,2509,POINT (-91.67707 41.96233),-1.600066720081318,0.7323808203083921,89,0.05393528753756275
530,5533,POINT (-93.64493 41.54501),-1.6344123562996136,0.7250972122739694,74,0.13612224262011197
536,5781,POINT (-91.06606 41.88873),-1.5894025838187071,0.7310962579789244,3,0.46758285790905635
539,4547,POINT (-93.21165 42.74173),-1.6268501937165727,0.7459839164984359,9,0.2684508129106326
541,6332,POINT (-91.69924 41.96255),-1.600453659576485,0.7323846600327465,87,0.41197358705103054
543,4116,POINT (-95.05168 42.30522),-1.6589647755520438,0.7383653797805555,2,0.1742728226604252
547,6151,POINT (-93.834244 41.599769),-1.637716508919734,0.726052937119069,75,0.019290007097882086
549,5441,POINT (-95.54647 42.74958),-1.6676004901579864,0.7461209248447175,5,0.248832531500146
552,2573,POINT (-91.03549 41.45015),-1.5888690366663727,0.7234415929455276,21,0.34414118886293416
553,5118,POINT (-90.8504 42.44283),-1.5856386067538562,0.7407671273642249,3,0.08775985850247026
554,5340,POINT (-93.78501 41.55918),-1.6368572135158073,0.725344525428977,79,0.30352034085856705
558,5734,POINT (-91.65724 41.70784),-1.5997206212906474,0.7279391318949917,31,0.15718397155948072
563,5799,POINT (-91.30382 41.48112),-1.593552278648249,0.7239821214148702,0,6.319457993045257
564,3934,POINT (-90.66292 42.04869),-1.5823664634722174,0.7338880866504145,7,0.1766507522692961
567,3618,POINT (-91.71824 41.94922),-1.6007852721343638,0.7321520076434557,66,0.379621571013547
583,6203,POINT (-93.86911 41.61605),-1.6383250354167345,0.7263370941745863,45,0.0
585,3841,POINT (-90.66545 42.4953),-1.582410620302293,0.7416829016227463,50,0.05235574404150469
590,5969,POINT (-90.76281 41.50912),-1.5841098728620346,0.7244708136054286,5,0.17023691490002094
592,2576,POINT (-80.34522 42.02256),-1.4022886272391983,0.7334320321168684,0,144.5456339266295
594,6237,POINT (-90.18652 41.85358),-1.5740517149157165,0.7304827747468483,17,0.3615728422415797
596,5496,POINT (-90.62028 41.54542),-1.581622255079167,0.7251043681239026,64,0.501248126996669
598,6219,POINT (-91.12142 41.3714),-1.5903687980926113,0.7220671461595821,10,0.011067767253744178
599,5682,POINT (-90.22439 41.83363),-1.5747126711034467,0.7301345815610755,19,1.1135876762993846
603,5708,POINT (-92.00797 41.66282),-1.6058420145761672,0.727153384665744,3,0.1517377185152585
610,3749,POINT (-95.20073 42.66413),-1.6615661888021411,0.7446295409988883,13,0.8816945575286305
620,6233,POINT (-91.65267 41.98792),-1.5996408597438312,0.7328274500639775,121,0.037513769350018746
622,4638,POINT (-90.61021 41.5675),-1.581446500423491,0.725489736822743,70,0.5093537012840771
627,5138,POINT (-92.9031 41.71438),-1.6214649803095438,0.7280532764280722,0,5.570812401985389
628,3563,POINT (-91.02383 41.45632),-1.5886655312755902,0.7235492797603756,20,0.37080838018034584
638,5570,POINT (-91.682 41.97947),-1.6001527648134413,0.732679969742184,109,0.4680136637663463
645,4677,POINT (-91.61644 41.69696),-1.5990085269558336,0.7277492400723747,46,0.2316163967034872
646,5553,POINT (-90.2113 41.85933),-1.5744842075043606,0.730583131178838,17,0.07745086957387325
652,5776,POINT (-91.26631 41.58325),-1.5928976056458262,0.725764626179932,2,0.4369465882991995
653,4230,POINT (-93.75686 41.60044),-1.6363659033313709,0.7260646482783498,127,0.15139512135229352
660,5555,POINT (-90.63733 41.53816),-1.5819198337166323,0.7249776572202078,61,0.8989029408461963
662,4157,POINT (-91.60865 41.74111),-1.5988725658071032,0.7285198029371303,32,0.09245394404096349
667,4617,POINT (-93.5702 41.60763),-1.633108071749598,0.7261901374515682,79,0.29899090240251164
668,2662,POINT (-91.04435 41.42662),-1.5890236728380993,0.7230309169725333,21,0.1728376788299198
674,4710,POINT (-90.71528 42.49327),-1.5832803178685617,0.7416474714389308,50,0.2645183021771411
677,5606,POINT (-90.19323 41.84832),-1.5741688265085252,0.7303909704281935,17,0.0
679,5542,POINT (-90.65661 42.06919),-1.5822563331964166,0.7342458791470733,6,0.45771493280304154
680,4915,POINT (-90.47859 41.53062),-1.579149298062016,0.7248460593946074,39,0.21700183623160127
681,4068,POINT (-93.70333 41.57076),-1.6354316285827781,0.7255466345563579,116,0.021151699455483116
685,5092,POINT (-93.80753 41.58907),-1.6372502616633562,0.7258662043423981,99,0.7877872154927429
696,3650,POINT (-95.54476 42.48869),-1.6675706450277774,0.7415675353591895,1,0.5742029670016864
698,4663,POINT (-90.85038 42.4441),-1.585638257688006,0.7407892930457252,3,0.08775985850247026
700,4310,POINT (-95.55188 42.7551),-1.6676949124705194,0.7462172670194276,5,0.42248630048210994
705,6327,POINT (-92.07436 41.79301),-1.6070007386665661,0.7294256288189154,3,0.17431566156896308
708,2630,POINT (-93.79055 41.58492),-1.6369539047563675,0.7257937731784403,106,0.04840309578124331
712,4051,POINT (-90.68062 42.06742),-1.5826753867498204,0.734214986819313,6,0.0435314786047315
715,3959,POINT (-90.68744 42.49841),-1.5827944182048064,0.7417371813624833,51,0.16125831155463885
720,5307,POINT (-93.69769 41.67024),-1.6353331920129657,0.7272828880962419,81,0.09259220260836568
726,10065,POINT (-90.44919 41.55596),-1.57863617126193,0.7252883258270628,26,1.3735711778729236
733,5594,POINT (-91.92114 41.90257),-1.6043265451866604,0.7313378115474003,2,4.791520900611103
740,4158,POINT (-94.85063 42.06565),-1.6554557910909091,0.7341840944915526,10,0.5150239092476421
748,5064,POINT (-91.77904 41.92916),-1.6018464323195765,0.7318018945955057,29,1.9097336200281947
749,3776,POINT (-90.6227 41.56015),-1.5816644920470653,0.7253614551227213,67,0.03412393832907384
752,6067,POINT (-91.0303 41.44704),-1.5887784540781942,0.7233873132057906,21,0.16725545664561522
770,5482,POINT (-90.57658 41.52245),-1.5808595461960455,0.7247034659947195,75,0.4866278078703062
771,4163,POINT (-95.1969 42.64677),-1.66149934269179,0.744326551840742,13,0.1139479022294144
785,4518,POINT (-93.79872 41.56183),-1.6370964981562557,0.7253907766541549,76,0.0
787,4137,POINT (-93.86911 41.61403),-1.6383250354167345,0.7263018385236959,46,0.13957712187490923
810,5226,POINT (-90.58918 41.52172),-1.5810794576817968,0.7246907250911799,73,0.1156510956679294
811,5813,POINT (-91.67931 41.89141),-1.6001058154565626,0.7311430328028777,22,0.2531106113372536
830,3806,POINT (-93.77914 41.55923),-1.6367547626887151,0.725345398093603,80,0.297077911543109
835,4956,POINT (-91.7343 41.96805),-1.6010655720122344,0.7324806531416062,67,0.05155443429182231
862,4552,POINT (-90.71851 41.45595),-1.5833366920034009,0.7235428220421433,3,4.052146071985655
876,4562,POINT (-91.25786 41.90312),-1.5927501253240324,0.7313474108582864,1,4.393650890474349
879,5255,POINT (-93.75979 41.60044),-1.636417041478454,0.7260646482783498,125,0.15139512135229352
887,5814,POINT (-90.72074 42.56616),-1.5833756128457206,0.7429196419307096,32,2.9376343245904684
889,4594,POINT (-93.70255 41.56986),-1.6354180150146127,0.7255309265930899,114,0.07411602669965968
891,5354,POINT (-95.09061 42.27132),-1.659644232229845,0.7377737131641294,2,3.0735642981000315
893,5735,POINT (-91.04356 41.43895),-1.5890098847370087,0.7232461160693042,21,0.047968195315496974
908,2568,POINT (-91.65094 41.98891),-1.599610665547772,0.7328447288235722,123,0.0070074354687379055
909,5617,POINT (-92.54574 42.95356),-1.615227871694617,0.7496810474529356,0,9.362524758715693
921,5444,POINT (-92.90803 42.05011),-1.6215510250416671,0.7339128703257927,15,0.09189978816530009
924,5399,POINT (-93.21094 43.28341),-1.6268378018788832,0.7554380159906389,0,8.288595928264249
931,5383,POINT (-93.2209 43.44547),-1.627011636672382,0.7582664965764209,1,0.17545238392249154
933,5692,POINT (-90.6803 41.53819),-1.582669801696214,0.7249781808189834,41,0.042311206985283734
940,6059,POINT (-93.27964 42.51967),-1.6280368430750034,0.7421082383614573,5,0.5739660112149984
943,4070,POINT (-92.27723 41.89707),-1.610541488120087,0.7312418184385406,4,0.027267978040704865
954,5795,POINT (-91.02618 41.59003),-1.588706546513012,0.7258829595032172,3,0.4434256150129036
961,5404,POINT (-91.79066 41.72465),-1.6020492395786583,0.728232521742252,0,6.561075121269175
963,5873,POINT (-93.77234 41.57175),-1.6366360802995794,0.7255639133159527,88,0.08389500647227781
971,5108,POINT (-90.51827 41.52504),-1.5798418447092075,0.7247486700223461,65,0.06110515933599064
974,5621,POINT (-90.61995 41.53817),-1.5816164954926355,0.724977831753133,63,0.0005172051826338285
986,4013,POINT (-91.12746 41.78643),-1.5904742159794318,0.7293107861541341,3,0.6451192198258382
1002,5532,POINT (-92.92087 43.37848),-1.6217751253176234,0.7570973005105099,2,0.025613415524330184
1008,10070,POINT (-90.34381 41.60326),-1.5767969432961784,0.726113866563256,7,0.0
1022,5206,POINT (-92.78209 42.36156),-1.6193529573817056,0.739348698281129,2,0.26907687968016825
1024,10058,POINT (-90.60132 41.52677),-1.581291340652989,0.7247788642184056,71,0.01181653973642493
1031,6290,POINT (-92.81398 43.28406),-1.6199095428801666,0.7554493606307767,3,0.1422226155095892
1040,4766,POINT (-90.67433 42.45981),-1.58256560553987,0.7410634842712135,45,0.12511538016859194
1046,5916,POINT (-90.53908 41.80942),-1.5802050477265477,0.7297120373491677,4,0.8464610829917912
1067,10045,POINT (-92.27826 41.89664),-1.6105594650113826,0.731234313522757,4,0.0
1069,6061,POINT (-92.44518 41.72856),-1.6134727685988115,0.7283007641160051,2,0.0
1086,5403,POINT (-90.58837 41.52016),-1.5810653205148555,0.7246634979548487,72,0.1156510956679294
1092,5794,POINT (-90.77458 41.59208),-1.5843152981149944,0.7259187387528832,0,5.749083338427506
1101,5819,POINT (-95.302 42.67533),-1.663333683735636,0.7448250178751118,2,0.09169473622244301
1102,4747,POINT (-90.57403 41.5378),-1.5808150403001195,0.7249713740349005,82,0.2714144034162615
1125,5071,POINT (-90.91174 41.60058),-1.5867091917170295,0.7260670917393027,1,0.05015568778253717
1132,5588,POINT (-92.07329 41.78953),-1.6069820636435699,0.729364891360946,3,0.0822131095403768
1134,5846,POINT (-90.61345 41.51414),-1.5815030490912558,0.7245584291338787,61,0.05992112016014623
1153,2698,POINT (-93.77283 41.55982),-1.6366446324129142,0.7253556955361898,79,0.037669208449853504
1159,2521,POINT (-93.7314 41.57151),-1.635921542503813,0.725559724525748,101,0.0014754714414605369
1198,5190,POINT (-91.83344 41.87841),-1.6027958914326614,0.7309161400001185,3,0.031147261609362147
1205,10072,POINT (-91.12141 41.37156),-1.5903686235596861,0.7220699386863852,10,0.011067767253744178
1207,6212,POINT (-93.20248 42.74154),-1.6266901470241646,0.7459806003728572,9,0.0
1215,5159,POINT (-94.63884 42.39881),-1.6517593582681105,0.739998833427497,2,0.08572721125577283
1218,3805,POINT (-90.59627 41.53595),-1.5812032015257633,0.7249390854437388,74,0.16839673080871936
1219,4184,POINT (-91.08189 41.43537),-1.589678869439298,0.7231836332820828,23,0.15025491375876274
1227,4719,POINT (-93.77001 41.55913),-1.636595414128008,0.7253436527643511,77,0.15340103537568534
1228,6141,POINT (-90.67721 42.06901),-1.5826158710223275,0.7342427375544197,6,0.1870688723652098
1242,3488,POINT (-90.42298 42.25545),-1.5781787204649822,0.737496729411838,5,0.21872575530218197
1247,5359,POINT (-90.84849 42.44482),-1.5856052709651431,0.7408018594163396,3,0.10845379805744161
1251,5329,POINT (-90.64632 41.82803),-1.5820767388163863,0.7300368431229637,1,4.833847018876542
1271,2683,POINT (-93.80946 41.56264),-1.6372839465179199,0.7254049138210961,68,0.0753181421996946
1284,5998,POINT (-91.03476 41.58997),-1.5888562957628332,0.7258819123056661,3,0.4434256150129036
1287,3738,POINT (-90.6715 42.51383),-1.5825162127220385,0.7420063111331409,51,0.060370588192051364
1290,5804,POINT (-90.20001 41.83132),-1.5742871598318104,0.7300942644553543,19,0.28806786271539697
1314,6139,POINT (-90.59935 41.52026),-1.5812569576667246,0.7246652432841009,68,0.004172749787109549
1323,4371,POINT (-93.77348 41.55849),-1.6366559770530524,0.7253324826571382,77,0.09785208313214501
1349,4540,POINT (-90.42779 42.26836),-1.578262670802003,0.7377220514182704,5,0.8518819029047798
1372,4110,POINT (-92.7852 42.57036),-1.6194072371214427,0.7429929457592933,1,4.666595731565067
1399,6072,POINT (-91.05788 41.41386),-1.5892598158858942,0.7228082129599789,23,0.4374971294650198
1446,6046,POINT (-93.734597 41.56575),-1.6359773406799991,0.7254591935608331,97,0.42947870967413765
1470,6032,POINT (-95.54479 42.48038),-1.667571168626553,0.7414224984983487,1,0.5742029670016864
1471,5618,POINT (-91.34083 41.91831),-1.5941982250044122,0.7316125263716642,6,3.1004281628026846
1496,5420,POINT (-91.65631 41.93769),-1.5997043897286038,0.7319507711807008,74,0.9596203033731253
1513,5347,POINT (-93.7709 41.57231),-1.6366109475583508,0.7255736871597639,92,0.08389500647227781
1642,4613,POINT (-94.86262 42.06448),-1.6556650560682233,0.7341636741393044,10,0.06084744843716765
1657,3822,POINT (-91.64609 41.84749),-1.5995260170790502,0.7303764841954019,5,0.9521639174279616
1677,4949,POINT (-90.58552 41.52026),-1.581015578631174,0.7246652432841009,70,0.14760622253271732
1694,4480,POINT (-90.18389 41.86148),-1.574005812756389,0.7306206557577559,17,0.2008683837682782
1702,6226,POINT (-93.26263 42.52143),-1.6277399625692393,0.7421389561562924,4,0.06779258971797064
1732,5878,POINT (-93.29845 42.30554),-1.6283651395073035,0.7383709648341619,1,0.5810868318269915
1906,4190,POINT (-94.37766 42.02668),-1.6472009073277516,0.7335039396820505,3,0.4575653873074017
1923,4856,POINT (-91.40113 41.91865),-1.5952506585433646,0.731618460491121,5,0.0030849064260469656
1946,5945,POINT (-91.71601 41.97423),-1.6007463512920443,0.7325885144893794,92,0.029711961587300606
1949,4569,POINT (-95.4989 42.96803),-1.6667702370328128,0.7499335965956991,0,9.446918149431808
1951,2554,POINT (-90.62058 41.5106),-1.581627491066923,0.7244966444783582,59,0.06586076207354048
2038,9037,POINT (-91.40014 40.4728),-1.59523337978377,0.706383617501161,8,3.50453797946958
2182,5725,POINT (-90.42779 41.56774),-1.578262670802003,0.7254939256129477,20,1.3735711778729236
